Estado Start/Stop;Ambiente;App Name;Owner;COMPUTER NAME;RESOURCE GROUP;SUBSCRIPTION;LOCATION;SIZE;Schedule
Agendamento em progresso;QL;RDC;Jorge Rainha;qlcaodsdatdgw01;NE-QL-CAODS-DAT-RG;DDD-CA Smart-QL;North Europe;Standard_B4ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;QL;;;qlcapamapppsm01;NE-QL-CAPAM-APP-RG;DDD-CA AZDCS-QL;North Europe;Standard_F4s_v2;
Inactivo;QL;;;qlcapamapppsp01;NE-QL-CAPAM-APP-RG;DDD-CA AZDCS-QL;North Europe;Standard_F2s_v2;
Inactivo;QL;;;qlcapamdatvlt01;NE-QL-CAPAM-DAT-RG;DDD-CA AZDCS-QL;North Europe;Standard_D2s_v3;
Inactivo;QL;;;qlcapaminfcpm01;NE-QL-CAPAM-INF-RG;DDD-CA AZDCS-QL;North Europe;Standard_D2s_v3;
Inactivo;QL;;;qlcapamwfopvw01;NE-QL-CAPAM-APP-RG;DDD-CA AZDCS-QL;North Europe;Standard_B2s;
Agendamento em progresso;QL;RDC;Jorge Rainha;qlcaodsdatsql01;NE-QL-CAODS-DAT-RG;DDD-CA Smart-QL;North Europe;Standard_F32s_v2;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;RDC;Jorge Rainha;qlcaodsdatsrs01;NE-QL-CAODS-DAT-RG;DDD-CA Smart-QL;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;RDC;Jorge Rainha;qlsmartdgwvms01;ne-ql-smart-dgw-rg;DDD-CA Smart-QL;North Europe;Standard_B4ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;RDC;Jorge Rainha;qlsmartdgwvms02;NE-QL-SMART-DGW-RG;DDD-CA Smart-QL;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;QL;;;qlcaproinfdns01;NE-QL-CAPRO-INF-RG;DDA AEA QA;North Europe;Standard_B2s;
Inactivo;QL;;;qlcapropltdgw01;NE-QL-CAPRO-DGW-RG;DDA AEA QA;North Europe;Standard_B2ms;
Agendamento em progresso;QL;RDC;Jorge Rainha;qlsmartdgwvms03;NE-QL-SMART-DGW-RG;DDD-CA Smart-QL;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
